"node","to.node","diameter","X","length","X.1","to.node.1","diameter.1","X.2","length.1","X.3"
"1","1",1,"1",1,"1","1",1,"1",1,"1"
"2","2",2,"2",2,"2","2",2,"2",2,"2"
"3","3",3,"3",3,"3","3",3,"3",3,"3"
"5.10.1.2","end",6.8,"",98.2,"","end",2.56,"",137.4,""
"5.10.2","5.10.3",NA,"",NA,"","end",NA,"",NA,""
"5.10.5","end",NA,"",NA,"","end",NA,"",NA,""
"5.11.1","5.11.2",17.5,"",5.8,"","end",1.67,"",21.8,""
"5.11.10","5.11.10*5",5.2,"",78.6,"","end",3.4,"",107.6,""
"5.11.10*5","5.11.11",5,"",35,"","end",2.22,"",11.2,"b"
"5.11.2","5.11.3",17.5,"",119.2,"","end",1.95,"",93.8,""
"5.11.2*5","5.11.3",15.9,"",54,"","end",1.79,"",97.4,""
"5.11.3.1.1","5.11.3.1.2",5.8,"",77.4,"","end",1.61,"",15.8,""
"5.11.3.4","end",NA,"",NA,"","end",NA,"",NA,""
"5.11.4","5.11.5",9.8,"",54.2,"","5.11.4.1",5.95,"",44.4,"bm"
"5.11.4.1","5.11.4.4",5.4,"",NA,"","end",2.99,"",3,"b"
"5.11.4.4","5.11.4.5",NA,"",NA,"","end",NA,"",NA,""
"5.11.4.5","5.11.4.6",NA,"",NA,"","end",NA,"",NA,""
"5.11.4.6","end",NA,"",NA,"","end",NA,"",NA,""
"5.11.5","5.11.7",8.4,"",55.2,"","5.11.5.3",9.2,"b",81.2,"bm"
"5.11.5.3","5.11.5.4",5.5,"",16.4,"","end",2.89,"",106.8,""
"5.11.5.4","5.11.5.7",4.41,"",63,"bm","end",2.16,"",118,"b"
"5.11.5.5","5.11.5.6",4.8,"",13.4,"","end",NA,"",NA,""
"5.11.5.7","5.11.5.8",3.3,"",32.8,"","end",2.4,"",69.6,""
"5.11.5.8","5.11.5.9",2.69,"",NA,"","end",2.18,"",87.2,""
"5.11.8","5.11.9",7,"",64,"","end",2.24,"",13.4,""
"5.12","5.13",18.1,"",68.2,"","end",4.2,"",57,"b"
"5.13","5.14",15.9,"",53.6,"","end",1.43,"",1.2,"b"
"5.14","5.15",16.4,"",27.8,"","end",3,"",31,"b"
"5.15","5.16",13.1,"",53.2,"","5.15.2",9.7,"",160,""
"5.15.2","5.15.3",8,"",72.2,"","end",3.67,"",48,""
"5.15.3","5.15.4",6.6,"",22.8,"","end",4.54,"",61.4,""
"5.15.5","end",6,"b",164.4,"","5.15.5.1",5.6,"",11.6,""
"5.15.5.1","5.15.5.2",4.5,"",84.4,"","5.15.5.1.1",4.6,"",80.2,""
"5.16.2","5.16.3",4.46,"",63.8,"","end",3.56,"",35,""
"5.16.4","end",3.7,"",133,"","end",1.32,"",26.2,"b"
"5.16.5","end",2.82,"",90.8,"","end",1.59,"",31.2,""
"5.17","5.18",8.7,"",95.4,"","5.17.1",9.3,"",41.6,""
"5.17.1","5.17.2",7,"",52,"","end",7.6,"",213.4,""
"5.17.1.1","5.17.1.2",4.4,"",96.8,"","end",3.5,"",47.2,""
"5.17.3","5.17.4",3.63,"",29.4,"","end",2.89,"",91.2,""
"5.17.4","5.17.5",2.94,"",52.6,"","end",2.05,"",9.8,"b"
"5.17.5","end",1.69,"",47.2,"","end",2.04,"",61.4,""
"5.17.7","end",NA,"",NA,"","5.17.7.1",NA,"",NA,""
"5.18","5.19",6.3,"",117.6,"","5.18.1",5.4,"",79.6,""
"5.18.*5","5.18.1",5.1,"",30,"","end",1.84,"",52.2,""
"5.18.1","end",3.6,"",131.4,"","end",3.22,"",143.6,""
"5.2","5.4",NA,"",NA,"","end",NA,"",NA,""
"5.20","end",2.54,"",103.2,"","end",2.11,"",87.8,""
"5.4","5.6",27.5,"",60,"","end",NA,"",NA,""
"5.6","5.8",29.5,"",38.6,"","end",4.5,"",50,"b"
"5.7","5.8",26.5,"",25.4,"bm","5.7.1",10,"",62.2,""
"5.7.4","5.7.5",9,"",10.8,"","end",1.1,"",35.2,""
"5.7.5","5.7.7",6.6,"",NA,"","end",4.3,"",103.4,"b"
"5.7.5.2","5.7.5.3",NA,"",NA,"","end",NA,"",NA,""
"5.7.5.3","5.7.5.4",NA,"",NA,"","end",NA,"",NA,""
"5.7.7",NA,NA,"",NA,"","end",NA,"",NA,""
"5.7.8","5.7.9",NA,"",NA,"","end",NA,"",NA,""
"5.8","5.9",26.8,"",48.2,"","end",5.6,"",86.8,""
"5.9","5.10",26.4,"",79.6,"","end",2.7,"",53.2,"b"
